Num Of Requests,Passengers Served,Floors Travelled,Time Taken0,0,0,4,
Request ID,Source,Destination,Number Of People,Status,Request Time
Num Of Requests,Passengers Served,Floors Travelled,Time Taken2,3,10,51,
Request ID,Source,Destination,Number Of People,Status,Request Time
0,3,5,3,Accepted,10:23:22.865089,
1,5,0,0,Accepted,10:23:56.212967,
Num Of Requests,Passengers Served,Floors Travelled,Time Taken2,8,5,42,
Request ID,Source,Destination,Number Of People,Status,Request Time
0,3,6,3,Accepted,10:32:24.015289,
1,4,2,5,Accepted,10:32:41.391627,
1,0,7,81,
0,2,0,0,Accepted,10:33:30.564419,
